setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.5667 -0.5667 -0.4333 0.4333 0.0113345 -0.0113334 -0.00866523 0.00866631 3.74198e-05
0.566542 -0.566543 -0.433143 0.433142 0.0224385 -0.0224374 -0.0171546 0.0171558 7.97207e-05
0.566069 -0.56607 -0.43267 0.432669 0.033311 -0.0333098 -0.0254648 0.0254659 0.00013018
0.56528 -0.565282 -0.431882 0.43188 0.0439502 -0.0439488 -0.033593 0.0335942 0.000213771
0.564176 -0.564179 -0.430779 0.430776 0.0543546 -0.0543532 -0.0415362 0.0415377 0.000346419
0.562758 -0.562762 -0.429362 0.429358 0.0645225 -0.0645211 -0.0492926 0.049294 0.000506698
0.561026 -0.561031 -0.427631 0.427626 0.0744524 -0.0744511 -0.0568593 0.0568606 0.000687075
0.558982 -0.558988 -0.425588 0.425582 0.0841429 -0.0841417 -0.0642338 0.064235 0.000883526
0.556628 -0.556635 -0.423235 0.423228 0.0935925 -0.0935914 -0.0714137 0.0714148 0.00109358
0.553964 -0.553971 -0.420571 0.420564 0.1028 -0.102799 -0.0783968 0.0783977 0.00131584
0.550992 -0.551 -0.4176 0.417592 0.111764 -0.111763 -0.0851808 0.0851816 0.0015499
0.547715 -0.547724 -0.414324 0.414315 0.120483 -0.120482 -0.0917636 0.0917642 0.00179467
0.544133 -0.544143 -0.410743 0.410733 0.128955 -0.128955 -0.0981431 0.0981436 0.00204799
0.54025 -0.540261 -0.406861 0.40685 0.137181 -0.137181 -0.104317 0.104318 0.00230767
0.536068 -0.53608 -0.40268 0.402668 0.145159 -0.145159 -0.110285 0.110285 0.00257277
0.53159 -0.531602 -0.398202 0.39819 0.152887 -0.152888 -0.116043 0.116043 0.00284307
0.526818 -0.526831 -0.393431 0.393418 0.160366 -0.160367 -0.121591 0.12159 0.00311851
0.521755 -0.521769 -0.388369 0.388355 0.167594 -0.167595 -0.126926 0.126925 0.0033992
0.516405 -0.516419 -0.383019 0.383005 0.17457 -0.174571 -0.132048 0.132047 0.00368993
0.510771 -0.510786 -0.377386 0.377371 0.181294 -0.181296 -0.136954 0.136953 0.00399837
0.504856 -0.504872 -0.371472 0.371456 0.187765 -0.187767 -0.141645 0.141643 0.00432747
